latitude,longitude,collision,distance_to_forest,forestHubName,distance_to_railway,railwayHubName,distance_to_water,waterHubName
6.063195134,80.21367921,0,602.2144,533297441,2048.456304,19314715,1043.731364,96
6.057277176,80.19341457,0,105.9869157,567727863,743.866038,8873168,910.3942871,1380
6.948359957,79.84106718,0,2895.200135,392170146,1893.520613,23570034,1634.20517,68
6.05759307,80.19952905,0,199.0103473,568061057,1296.871381,19314715,991.759096,1380
6.044970498,80.19923791,0,543.0636274,542605804,639.311603,19314715,618.0498273,1380
6.043134544,80.20978929,0,339.3200565,536733871,715.683003,19314715,606.5957304,6
6.031536299,80.23339128,0,343.8819801,553142914,620.8913235,8072149,1190.882167,1219
7.176441224,79.89403205,0,738.0676395,1222687826,4138.194502,198188369,6322.790269,42
6.935976963,79.8848279,0,1428.419711,582020061,198.2525142,50738688,15982.61603,1937
6.947807826,80.59519655,0,2894.481056,9387505,3386.45308,30617333,2693.623143,5053
7.265808085,79.87026924,0,5224.733115,599241836,7690.665816,198188369,14492.93924,804
6.943657102,79.87857787,0,2298.745774,582020061,1013.138242,331333601,826.6006992,33
8.370909031,80.51381898,0,1972.56651,1217679441,5914.881153,62005148,433.2431696,10755
6.945326395,79.87467784,0,2448.280039,392170146,983.1799863,929600799,653.0678421,33
6.918950118,79.87667368,0,437.3565809,578298184,800.8263756,349170726,614.9221592,5352
6.929752013,79.8664118,0,1925.206061,582020061,51.68125985,259451406,902.5069685,34
6.866969776,79.87050908,0,1200.137988,467373513,4252.715994,98371190,379.258421,209
6.680931468,79.92675316,0,508.5491071,1201646860,5009.159819,29476220,488.2333467,70
6.569699841,79.97179786,0,669.7410145,1188615935,978.0892613,98399596,525.6693513,1510
6.489178437,79.96392118,0,2206.842957,773617215,2105.160248,98399585,2690.312045,14907
6.284848785,80.02749835,0,5453.681664,1443796014,2860.060756,98399562,5081.791855,12658
6.258555732,80.03095906,0,4080.918912,1443796014,2386.381724,98401993,4302.683793,12658
6.459219174,79.99470945,0,1172.256181,1214902890,1910.411563,147409247,1511.368923,74
6.509252971,80.00108986,0,1269.57236,1214037210,2236.255083,98399575,1846.668863,14943
6.386576354,80.02632766,0,2555.883632,128546296,3081.368571,98399577,770.8052335,440
6.279090528,80.03052988,0,4823.679803,1443796014,3400.1153,98399562,4531.651982,12658
6.050049179,80.16509404,0,1800.369835,533970657,2535.899482,8873168,3052.65281,11559
6.195901984,80.04811004,0,6765.151639,1471771183,2268.503452,151202975,1682.104176,13496
7.267019012,80.17256716,0,2411.942469,635076501,1021.552487,98568319,8564.455221,12611
7.106459248,80.00061868,0,1602.233895,432317954,565.0719546,318705194,130.0225914,12605
8.291629169,80.35046398,0,1450.411243,535241377,7885.940049,279729361,13504.61694,590
6.838810816,79.93167416,0,284.1292448,583762305,7695.854273,537840423,843.0796327,5562
8.404157136,80.44314289,0,732.0429288,287246850,1325.900494,279111450,9013.442191,590
8.595335068,81.19254088,0,37200.55045,9449594,7288.078793,439342829,821.9853206,12202
8.069363456,80.95422708,0,30929.65405,9449594,3510.124074,406600499,3656.189601,612
7.924904243,81.10828575,0,7184.652414,8104390,6284.113654,131344778,6637.505364,8433
7.886903246,81.09569581,0,5082.552259,12655549,8589.160873,131344778,2622.87448,8433
7.90429551,81.09278176,0,6004.2012,12655549,1006.814029,131344773,4544.274378,8433
7.918997343,81.08856057,0,8215.529364,8104390,605.86236,101623214,6235.338638,8433
7.94017972,81.49625552,0,425.5667365,472856568,5393.839401,456304824,14796.76234,2764
7.238766434,80.60099735,0,2059.920554,9382853,849.0970697,309821086,2158.782738,26
7.352061561,80.65795962,0,2398.414797,591026547,1558.017426,101855249,2405.870699,1452
7.341297831,80.639138,0,621.2383003,570463736,1096.643851,417957308,1825.035205,1452
7.161637954,80.55366001,0,1116.967756,7832571,1070.863487,101974188,3872.073883,25
6.971741245,80.55252841,0,2990.207183,9387505,2083.843062,373187956,827.5537306,1136
6.981233829,80.5355155,0,3299.160077,11800358,1372.260469,373187956,2263.583145,1147
7.000307919,80.52057235,0,1948.524932,11800358,3768.467854,373187956,1115.79328,1158
6.866319187,80.81384019,0,7267.268178,6194584,4800.762405,102018657,5423.026052,4667
6.87618237,80.81395652,0,8288.320839,6194584,4055.300306,102018657,4935.637591,4667
6.793759783,80.99611588,0,523.7664844,1478780561,2624.170135,102116929,1349.78157,7722
6.808260308,80.87159458,0,9197.93818,6194584,2341.356583,275750347,462.7149707,858
6.803673007,80.85990058,0,7904.249285,6194584,1384.148615,275750347,1223.33808,858
6.890234507,81.04773606,0,1487.51598,386502845,1282.574865,417950607,440.8850007,4129
6.924356249,81.077605,0,4071.858072,527750030,2737.994275,417950558,3203.162493,290
6.8769371,81.04178455,0,285.6049453,482969336,498.3888051,581249920,1100.768165,5528
6.063785627,80.21058654,0,446.1092336,567650549,1966.01376,19314715,1364.612878,96
5.966447335,80.37157153,0,4384.407136,151199829,608.1453959,278375406,7959.189227,5
7.952750941,81.03116002,0,10051.31406,12655549,845.9745688,131344747,4880.503272,831
7.905338971,81.07320214,0,4878.82901,12655549,263.8707241,131344774,311.0834823,4147
8.014436606,80.98628857,0,37082.52511,9449594,876.0923836,131344779,1096.163749,91
7.928864743,81.09728993,0,6909.430711,8104390,7526.883532,131344778,7112.535155,8433
7.90183297,81.08846227,0,5480.358773,12655549,1299.384592,988828707,4454.780532,8433
8.004255397,80.96904901,0,10209.95258,7668082,1375.643955,131344772,2209.072371,91
7.93374232,81.10981743,0,6202.166077,8104390,6244.160283,131344778,8903.612363,593
7.915309477,81.11356076,0,8243.687196,8104390,5741.451258,131344778,5648.609758,8433
8.020257851,80.96121909,0,36347.02622,9449594,2105.900475,406600499,3508.154395,91
7.91951412,81.07936223,0,8524.550058,8104390,932.4331297,988828707,11552.55542,593
7.926841662,81.06618187,0,8544.013515,8104390,1978.722078,131344770,11620.02434,593
7.921934802,81.07761718,0,8364.1982,8104390,1246.786075,988828707,11406.94985,593
7.986690439,81.00128748,0,10596.08216,7668082,958.5815067,131344748,2424.440871,91
6.444902899,80.00055385,0,1153.11411,1309522495,606.8338037,147409247,2717.188707,74
6.449251155,79.99282841,0,1067.662471,147445612,872.6950477,147409247,2532.059815,74
6.418239153,80.00545278,0,1394.199073,148999156,866.0297698,98399597,4550.532713,900
6.411077841,79.98843128,0,1494.59597,148999156,1444.836076,98399597,6455.014654,900
6.239588243,80.05377092,0,2422.787114,1443796014,1120.142077,98401993,560.588381,10068
8.038726076,80.57015077,0,3704.406653,6182307,7789.601562,158821460,2630.672991,10556
7.995297818,80.53551859,0,3505.109523,6182307,16832.66063,101262974,2003.270921,9030
7.715362574,81.69658674,0,2240.076491,220003141,1093.038952,179212062,169.5402043,394
7.744517355,81.69471987,0,844.2918424,221307653,13237.40193,1228988154,1436.633795,251
7.708716789,81.67813237,0,1724.688545,1277839778,15112.20789,1228988154,2128.973645,11246
8.325561021,80.41853922,0,1709.193287,551778427,1373.137655,554124692,11533.40574,590
8.323471197,80.39344808,0,1199.855187,553964511,608.3561051,98835613,3229.814256,114
8.354248107,80.43287383,0,935.4704035,551008284,3547.524101,62005148,10187.86935,590
8.351943876,80.3998213,0,710.3084444,543690940,2499.497391,554124690,7965.348031,590
8.340948938,80.41712012,0,383.8044761,544981237,2865.567412,554124690,10049.38165,590
6.859108552,81.06560164,0,3970.930811,7387906,2324.066662,102227193,712.9298812,4390
6.002325805,80.28793071,0,3121.059524,916883817,626.3991338,228885149,1923.645737,85
5.998633023,80.27978388,0,3903.615229,916883817,661.0166566,228885149,1497.200062,85
5.978273108,80.28395055,0,3781.188455,916883817,2098.085337,228885149,3728.453402,85
6.139513595,80.08054435,0,2285.115106,1471771183,3658.600853,98403454,2125.400087,450
6.047670471,80.23305576,0,199.1064374,543192709,1235.1014,108257473,723.16717,1219
5.970681507,80.29407538,0,3380.755114,916883817,3060.28074,197368557,4962.845933,85
7.033572944,79.90976865,0,6483.773892,544326139,2249.769394,228885218,3826.779287,1435
6.81902261,80.95471485,0,437.7963175,898038010,1988.048563,244906318,370.0201273,405
7.269160614,80.59926878,0,2687.481404,9382853,493.9721958,101855244,2370.548203,26
6.933878822,80.76856547,0,3989.649592,7289583,4277.316101,102018657,2192.171485,3095
6.919935302,80.7283768,0,6303.20929,7289583,6694.274932,102018657,944.8928356,4135
6.944350035,80.73241579,0,5972.070055,7285973,281.2744172,278430911,2006.292494,3095
6.921291385,80.73561981,0,5618.237289,7289583,6009.97752,102018657,701.5850957,461
6.922889848,80.73528059,0,5727.034194,7289583,6118.540947,102018657,723.4201321,461
6.92214695,80.72974713,0,6251.254238,7289583,6642.97118,102018657,917.7798167,4135
6.923398442,80.72746785,0,6537.085808,7289583,6928.827435,102018657,630.3926367,4135
6.9353226,80.74670951,0,5486.703068,7289583,5853.732623,102018657,827.2897424,3095
6.929620255,80.75402927,0,4470.012737,7289583,4833.698937,102018657,1409.092814,3095
6.814541647,80.9867926,0,1489.123781,926987980,787.5935624,102116929,1417.997822,408
6.830130231,80.98099395,0,2824.811544,7517389,947.4145161,417950589,2157.50813,408
6.821974011,80.9915299,0,709.1324978,926987980,580.1227302,417950589,2215.050168,408
6.875962002,81.06880983,0,408.4105247,483155734,719.2167768,102227193,957.1044209,16614
6.773266766,80.95222779,0,1575.30513,258952211,2209.861929,102116942,4236.131126,5206
6.808298961,80.99375013,0,1639.656285,1478780561,1522.960502,102116929,2189.659417,408
6.812599281,80.98030143,0,1594.679013,244854151,121.6514887,102116929,673.7068927,408
7.258374067,80.5979543,0,2082.55585,9382853,733.6039344,101855244,1840.494395,26
7.286461091,80.63431701,0,1772.477461,8310187,433.3263547,258496259,4292.014197,26
7.305398803,80.61648499,0,164.0331003,563911850,1920.097955,417957294,5751.98862,26
7.277912663,80.61758451,0,250.6533372,559226610,206.1822631,356425845,2735.897253,26
7.009677065,79.88735499,0,2863.903202,544326139,2833.098738,259451386,339.3592561,15639
7.006800329,79.90366286,0,4105.914261,544326139,1693.176737,259451386,1792.877817,705
6.931209337,79.88453035,0,905.4688087,582020061,554.7195306,50738688,16050.66101,1937
6.948040983,79.88829787,0,2812.71953,582020061,128.3784848,29481994,15587.70327,1937
