TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Evening,Negative,283.3800832,2010-04-11,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-11 20:00:00,4.0,318.8917127,0,82.40533687921676,10.0,4.912210619306881,51.41555241,0.829,0,11.0,20,6.0,1,0,0,0
Midday,Samudra,1983.376637,,174.0,0,0,,621991,,1,0,,,4035.72841,0,80.83701537,10.0,8.063667631,517.4918199,0.8934,0,,12,,1,1,0,0
Evening,Madara,493.5745986,,95.0,0,0,,621994,,1,0,,,642.0717907,0,80.31147952,10.0,7.930287934,1056.229545,0.8003,0,,20,,0,1,0,0
Night,Negative,1070.236594,2010-03-08,10.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-03-08 00:00:00,3.0,351.455844,0,83.42995413233828,40.0,7.722471782401685,1675.122865,0.7758,0,8.0,0,0.0,0,0,0,0
Afternoon,Hurululiya,3797.647056,,201.0,0,0,,621998,,1,0,,,2426.667266,0,80.66294651,10.0,7.94710191,2906.397828,0.8765,0,,16,,1,1,0,0
Night,Babar,3187.983964,2010-04-04 00:00:00,117.0,0,0,Inter-Monsoon,621997,2010.0,1,0,2010-04-04 00:00:00,4.0,4337.027092,0,81.32075879,10.0,6.566601982,4035.725192,0.8842,0,4.0,0,6.0,1,1,0,0
Night,Sakunthala,827.0798964,2009-11-06 00:00:00,68.0,0,0,Inter-Monsoon-2,621992,2009.0,1,0,2009-11-06 00:00:00,11.0,3276.042066,0,81.07811726,10.0,6.381207259,1474.296073,0.8427,0,6.0,0,4.0,1,1,0,0
Night,Wanamali,957.1438787,,65.0,0,0,,621512,,1,0,,,1527.407338,0,81.03443028,10.0,6.333493335,1277.526054,0.8326,0,,0,,0,1,0,0
Evening,Samudra,523.5300699,,91.0,0,0,,621990,,0,0,,,87.21848281,0,80.88405419,30.0,8.100317914,1852.858213,0.6443,0,,20,,0,1,0,1
Night,Madara,237.6547529,,93.0,0,0,,621994,,1,0,,,382.9579521,0,80.31027647,10.0,7.928142291,784.5388095,0.8452,0,,0,,0,1,0,0
Early Morning,Negative,225.8991195,2010-05-02,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-02 08:00:00,5.0,963.1471465,0,81.95856230991451,10.0,5.032709094540648,681.9496245,0.7716,0,2.0,8,6.0,1,0,0,0
Night,Nancy,945.4310784,,70.0,0,0,,622001,,0,0,,,4683.401447,0,80.90456374,30.0,8.154731823,1388.395367,0.7072,0,,0,,0,1,0,1
Midday,Sakunthala,1987.576684,2009-11-02 00:00:00,65.0,0,0,Inter-Monsoon-2,621992,2009.0,1,0,2009-11-02 12:00:00,11.0,2999.146873,0,81.08978262,10.0,6.385077124,2735.34006,0.5906,0,2.0,12,0.0,1,1,0,0
Night,Negative,401433.7911,2010-05-11,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-11 00:00:00,5.0,401727.8367,0,83.9241888880959,10.0,6.246718656920574,399051.0405,-0.2,0,11.0,0,1.0,0,0,0,0
Midday,Nalagiri,2162.668806,,72.0,0,0,,621997,,0,0,,,5307.331363,0,81.31586531,30.0,7.567134137,1954.257419,0.863,0,,12,,1,1,0,1
Evening,Negative,5109.21844,2010-01-07,18.0,0,0,Dry,0,2010.0,0,0,2010-01-07 20:00:00,1.0,3816.11333,0,82.17010514564554,30.0,8.324201770857233,4631.218098,0.5307,0,7.0,20,3.0,1,0,0,1
Early Morning,Hurululiya,287.977079,,146.0,0,0,,621998,,1,0,,,1996.696716,0,80.78817552,10.0,8.086322269,4035.040779,0.7897,0,,8,,1,1,0,0
Night,Udani,1481.59775,,13.0,1,0,,621514,,0,0,,,2258.242766,0,81.76038232,40.0,7.319430521,5984.407781,0.7879,0,,4,,0,1,0,0
Evening,Kumari,74.24085522,,62.0,0,0,,622000,,0,0,,,1551.411923,0,80.11852532,30.0,7.912947659,125.0536858,0.8547,0,,20,,1,1,0,1
Afternoon,Samudra,1962.226694,,147.0,0,0,,621990,,0,0,,,2771.187552,0,80.81529849,30.0,8.11988505,6233.518607,0.7721,0,,16,,1,1,0,1
Afternoon,Negative,10326.72751,2009-12-01,55.0,0,0,Dry,0,2009.0,1,0,2009-12-01 16:00:00,12.0,11487.28299,0,81.71205667047884,10.0,6.583383080442704,6971.320371,0.9252,0,1.0,16,1.0,1,0,0,0
Evening,Negative,401918.1251,2009-03-03,84.0,0,0,Inter-Monsoon,0,2009.0,1,0,2009-03-03 20:00:00,3.0,402201.5776,0,84.51433465977041,10.0,5.081954608403105,399526.6028,-0.2,0,3.0,20,1.0,0,0,0,0
Midday,Negative,1070.236594,2010-01-04,10.0,1,0,Dry,0,2010.0,0,0,2010-01-04 12:00:00,1.0,351.455844,0,84.53875477937599,40.0,7.24152358359519,1675.122865,0.7758,0,4.0,12,0.0,0,0,0,0
Midday,Sugala,286.0418528,2009-10-10 00:00:00,14.0,1,0,Inter-Monsoon-2,621513,2009.0,0,0,2009-10-10 12:00:00,10.0,3033.947644,0,81.74845498,40.0,7.156864482,1041.041973,0.8736,0,10.0,12,5.0,0,1,0,0
Early Morning,Mihiri,5949.55274,2010-03-10 00:00:00,188.0,0,0,Inter-Monsoon,621999,2010.0,1,0,2010-03-10 08:00:00,3.0,1227.482609,0,80.77676377,10.0,8.041776353,1043.525561,0.8087,0,10.0,8,2.0,1,1,0,0
Evening,Negative,143.5193619,2010-02-08,9.0,1,0,Dry,0,2010.0,0,0,2010-02-08 20:00:00,2.0,2754.937194,0,81.95926450562952,40.0,7.509460425168452,5609.338295,0.7429,0,8.0,20,0.0,0,0,0,0
Night,Negative,225.8991195,2010-05-03,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-03 04:00:00,5.0,963.1471465,0,82.12012621065907,10.0,4.681281257675479,681.9496245,0.7716,0,3.0,4,0.0,1,0,0,0
Night,Negative,401433.7911,2010-04-12,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-12 00:00:00,4.0,401727.8367,0,83.92460257005727,10.0,6.161217842610576,399051.0405,-0.2,0,12.0,0,0.0,0,0,0,0
Early Morning,Negative,480.4430664,2010-09-04,16.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-04 08:00:00,9.0,1449.497527,0,82.7734545438825,10.0,6.880734367974978,5503.669844,0.8402,0,4.0,8,5.0,1,0,0,0
Evening,Sakunthala,166.733885,,64.0,0,0,,621992,,0,0,,,3853.886296,0,81.08249293,30.0,6.375887422,1501.334522,0.8427,0,,20,,1,1,0,1
Early Morning,Madara,572.002998,,97.0,0,0,,621994,,1,0,,,617.3922401,0,80.30941751,10.0,7.948139241,444.8271187,0.8298,0,,8,,0,1,0,0
Evening,Negative,480.4430664,2010-02-06,16.0,0,0,Dry,0,2010.0,1,0,2010-02-06 20:00:00,2.0,1449.497527,0,82.85337162736647,10.0,6.746460897293338,5503.669844,0.8402,0,6.0,20,5.0,1,0,0,0
Night,Wira,1875.532819,2009-11-06 00:00:00,55.0,0,0,Inter-Monsoon-2,621993,2009.0,0,0,2009-11-06 04:00:00,11.0,812.2604306,0,80.08119332,30.0,7.807028556,313.023334,0.8172,0,6.0,4,4.0,0,1,0,1
Evening,Negative,480.4430664,2009-07-12,16.0,0,0,Southwest-Monsoon,0,2009.0,1,0,2009-07-12 20:00:00,7.0,1449.497527,0,82.87937036490911,10.0,6.438828889176797,5503.669844,0.8402,0,12.0,20,6.0,1,0,0,0
Evening,Negative,3798.713925,2010-05-12,99.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-12 20:00:00,5.0,1417.297902,0,80.45594162266762,10.0,8.378422252597414,1238.545438,0.7524,0,12.0,20,2.0,0,0,0,0
Afternoon,Udani,236.1600584,2009-09-06 00:00:00,29.0,0,0,Inter-Monsoon-2,621514,2009.0,0,0,2009-09-06 16:00:00,9.0,3145.018255,0,81.70888739,30.0,7.306977909,5062.492363,0.8227,0,6.0,16,6.0,0,1,0,1
Evening,Ekes,2231.808852,2010-02-05 00:00:00,109.0,0,0,Dry,621996,2010.0,0,0,2010-02-05 20:00:00,2.0,5845.331226,0,81.22316975,30.0,6.575357265,817.9472432,0.7134,0,5.0,20,4.0,0,1,0,1
Midday,Negative,143.5193619,2010-03-02,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-03-02 12:00:00,3.0,2754.937194,0,84.56770293132392,40.0,8.178627321754549,5609.338295,0.7429,0,2.0,12,1.0,0,0,0,0
Midday,Sugala,2872.616657,,12.0,1,0,,621513,,0,0,,,2996.663891,0,81.7971194,40.0,7.289726563,10004.4857,0.6399,0,,12,,0,1,0,0
Afternoon,Negative,5109.21844,2010-04-06,18.0,0,0,Inter-Monsoon,0,2010.0,0,0,2010-04-06 16:00:00,4.0,3816.11333,0,82.03435738434601,30.0,8.381079461144365,4631.218098,0.5307,0,6.0,16,1.0,1,0,0,1
Night,Udani,356.5130284,,14.0,1,0,,621514,,0,0,,,1438.410058,0,81.75266162,40.0,7.312732039,7310.584376,0.7879,0,,0,,0,1,0,0
Night,Negative,1115.048663,2010-05-03,10.0,0,0,Inter-Monsoon,0,2010.0,0,1,2010-05-03 04:00:00,5.0,417.9268672,0,80.29049747980622,60.0,5.5632337735745585,1011.359446,0.6874,0,3.0,4,0.0,0,0,0,0
Midday,Negative,480.4430664,2010-03-05,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-05 12:00:00,3.0,1449.497527,0,82.54205837152124,10.0,6.734407169915902,5503.669844,0.8402,0,5.0,12,4.0,1,0,0,0
Night,Negative,401204.4907,2010-01-08,84.0,0,0,Dry,0,2010.0,1,0,2010-01-08 00:00:00,1.0,401510.5496,0,83.35698142034202,10.0,5.588146658448542,398831.7056,-0.2,0,8.0,0,4.0,0,0,0,0
Evening,Negative,4655.048648,2009-11-09,157.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-11-09 20:00:00,11.0,4322.723096,0,80.83945852987118,10.0,8.221782734645103,2366.562147,0.8706,0,9.0,20,0.0,1,0,0,0
Midday,Ekes,5593.476774,2009-12-09 00:00:00,106.0,0,0,Dry,621996,2009.0,1,0,2009-12-09 12:00:00,12.0,5443.55639,0,81.18102964,10.0,6.56213987,1176.66539,0.8151,0,9.0,12,2.0,0,1,0,0
Evening,Udani,266.6342615,2009-10-06 00:00:00,14.0,0,0,Inter-Monsoon-2,621514,2009.0,1,0,2009-10-06 20:00:00,10.0,2662.433248,0,81.70605568,10.0,7.274709143,1817.884051,0.6865,0,6.0,20,1.0,0,1,0,0
Evening,Negative,454.2144651,2010-03-01,37.0,0,0,Inter-Monsoon,0,2010.0,0,0,2010-03-01 20:00:00,3.0,4115.285462,0,81.08169557011017,30.0,8.286623606537725,3467.917637,0.6421,0,1.0,20,0.0,1,0,0,1
Night,Negative,1115.048663,2010-04-02,10.0,0,0,Inter-Monsoon,0,2010.0,0,1,2010-04-02 04:00:00,4.0,417.9268672,0,80.67329847882702,60.0,5.705409140764596,1011.359446,0.6874,0,2.0,4,4.0,0,0,0,0
Night,Samudra,1964.464977,2010-04-01 00:00:00,274.0,0,0,Inter-Monsoon,621990,2010.0,1,0,2010-04-01 04:00:00,4.0,1727.42785,0,80.81075638,10.0,8.088639943,4581.795993,0.8848,0,1.0,4,3.0,1,1,0,0
Night,Negative,480.4430664,2009-12-03,16.0,0,0,Dry,0,2009.0,1,0,2009-12-03 00:00:00,12.0,1449.497527,0,83.22737827156443,10.0,6.521529620819475,5503.669844,0.8402,0,3.0,0,3.0,1,0,0,0
Night,Soma,386.3870562,,21.0,0,0,,621995,,0,0,,,4508.408311,0,81.16703306,30.0,8.109237124,11572.6736,0.2219,0,,0,,1,1,0,1
Afternoon,Negative,143.5193619,2010-09-09,9.0,1,0,Inter-Monsoon-2,0,2010.0,0,0,2010-09-09 16:00:00,9.0,2754.937194,0,83.04440687867495,40.0,7.7491118360906395,5609.338295,0.7429,0,9.0,16,3.0,0,0,0,0
Night,Ekes,2050.811217,,101.0,0,0,,621996,,0,0,,,4634.717165,0,81.23209185,30.0,6.581712578,3755.379546,0.7201,0,,4,,0,1,0,1
Evening,Negative,9923.815584,2009-10-12,84.0,0,0,Inter-Monsoon-2,0,2009.0,0,0,2009-10-12 20:00:00,10.0,9141.004949,0,81.53242332227369,30.0,6.780207383979468,8612.688091,0.8528,0,12.0,20,0.0,0,0,0,1
Afternoon,Negative,1247.537718,2010-04-09,127.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-04-09 16:00:00,4.0,1918.786918,0,81.1097724628333,40.0,6.902556968743834,1874.460458,0.8069,0,9.0,16,4.0,0,0,0,0
Afternoon,Udani,200.5073271,2009-11-07 00:00:00,15.0,1,0,Inter-Monsoon-2,621514,2009.0,0,0,2009-11-07 16:00:00,11.0,2892.693594,0,81.73248877,40.0,7.280546522,3180.595337,0.6662,0,7.0,16,5.0,0,1,0,0
Night,Madara,309.3681492,2010-04-06 00:00:00,93.0,0,0,Inter-Monsoon,621994,2010.0,1,0,2010-04-06 00:00:00,4.0,716.7189597,0,80.28581021,10.0,7.995340784,284.4247598,0.8333,0,6.0,0,1.0,0,1,0,0
Early Morning,Hurululiya,1373.153767,,166.0,0,0,,621998,,1,0,,,1648.865551,0,80.79642085,10.0,8.114475915,1368.508733,0.9183,0,,8,,1,1,0,0
Evening,Wira,485.8557467,2010-04-01 00:00:00,83.0,0,0,Inter-Monsoon,621993,2010.0,1,0,2010-04-01 20:00:00,4.0,486.8694817,0,80.1297731,10.0,7.852607641,239.5777954,0.7762,0,1.0,20,3.0,0,1,0,0
Night,Negative,281.0736565,2010-03-01,138.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-03-01 00:00:00,3.0,1568.241897,0,81.23050083997313,40.0,6.684964078639802,9912.473644,0.7224,0,1.0,0,0.0,0,0,0,0
Early Morning,Wira,1974.870726,,103.0,0,0,,621993,,1,0,,,926.6091929,0,80.22221113,10.0,7.856298159,1206.437215,0.7414,0,,8,,0,1,0,0
Evening,Negative,1115.048663,2009-10-03,10.0,0,0,Inter-Monsoon-2,0,2009.0,0,1,2009-10-03 20:00:00,10.0,417.9268672,0,80.40300812714139,60.0,4.945061980633938,1011.359446,0.6874,0,3.0,20,5.0,0,0,0,0
Midday,Negative,5177.372455,2009-09-08,158.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-09-08 12:00:00,9.0,1604.207859,0,80.81930390207374,10.0,7.94242052980454,112.7455886,0.9071,0,8.0,12,1.0,0,0,0,0
Afternoon,Madara,307.2293356,2010-09-04 00:00:00,98.0,0,0,Inter-Monsoon-2,621994,2010.0,1,0,2010-09-04 16:00:00,9.0,319.9458048,0,80.31122143,10.0,7.927275539,117.9762361,0.8452,0,4.0,16,5.0,0,1,0,0
Night,Madara,2188.631213,,90.0,0,0,,621994,,0,0,,,734.2472575,0,80.29096529,30.0,7.999890194,1251.293406,0.791,0,,0,,0,1,0,1
Night,Negative,3791.423145,2010-04-06,50.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-06 04:00:00,4.0,3483.802428,0,81.2986145094456,10.0,7.3164153221381385,67.62062848,0.8699,0,6.0,4,1.0,1,0,0,0
Night,Negative,1115.048663,2009-10-05,10.0,0,0,Inter-Monsoon-2,0,2009.0,0,1,2009-10-05 04:00:00,10.0,417.9268672,0,81.04734913739637,60.0,5.456310526537576,1011.359446,0.6874,0,5.0,4,0.0,0,0,0,0
Night,Ekes,4510.007999,,119.0,0,0,,621996,,1,0,,,5966.028259,0,81.18308823,10.0,6.576477158,888.4519215,0.7874,0,,4,,0,1,0,0
Night,Sugala,558.8633868,,51.0,0,0,,621513,,1,0,,,1707.342639,0,81.56811923,10.0,7.501299861,591.8993718,0.8273,0,,4,,1,1,0,0
Night,Mihiri,5906.999732,,177.0,0,0,,621999,,1,0,,,3419.453774,0,80.77178741,10.0,8.063491772,687.2412867,0.8812,0,,4,,1,1,0,0
Night,Negative,480.4430664,2010-09-09,16.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-09 00:00:00,9.0,1449.497527,0,82.18146335083864,10.0,6.874375860186127,5503.669844,0.8402,0,9.0,0,3.0,1,0,0,0
Evening,Negative,1115.048663,2009-12-08,10.0,0,0,Dry,0,2009.0,0,1,2009-12-08 20:00:00,12.0,417.9268672,0,80.07011319375711,60.0,4.599234381742873,1011.359446,0.6874,0,8.0,20,1.0,0,0,0,0
Afternoon,Hurululiya,2341.697967,,141.0,0,0,,621998,,0,0,,,1546.184103,0,80.79350268,30.0,8.087609451,3952.300868,0.7897,0,,16,,1,1,0,1
Midday,Kala,2188.610855,2010-04-01 00:00:00,133.0,0,0,Inter-Monsoon,621991,2010.0,1,0,2010-04-01 12:00:00,4.0,589.9338498,0,80.58819389,10.0,7.964446869,3827.118385,0.7502,0,1.0,12,3.0,0,1,0,0
Evening,Negative,1070.236594,2009-11-02,10.0,1,0,Inter-Monsoon-2,0,2009.0,0,0,2009-11-02 20:00:00,11.0,351.455844,0,83.3984675698416,40.0,7.154720418356257,1675.122865,0.7758,0,2.0,20,0.0,0,0,0,0
Midday,Samudra,2235.490529,2009-12-09 00:00:00,120.0,0,0,Dry,621990,2009.0,1,0,2009-12-09 12:00:00,12.0,2752.449515,0,80.8249099,10.0,8.101771232,7641.884564,0.7495,0,9.0,12,2.0,1,1,0,0
Afternoon,Negative,4313.328595,2009-11-02,38.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-11-02 16:00:00,11.0,5244.196558,0,81.7101445261018,10.0,6.719920506666974,407.8001804,0.8866,0,2.0,16,0.0,1,0,0,0
Midday,Kala,1229.803342,,127.0,0,0,,621991,,1,0,,,1018.737878,0,80.55952244,10.0,7.963838513,1912.626983,0.1661,0,,12,,1,1,0,0
Midday,Samudra,1392.439966,,151.0,0,0,,621990,,1,0,,,1858.051958,0,80.79950587,10.0,8.11679308,1507.141564,0.9049,0,,12,,1,1,0,0
Night,Kala,758.8701019,,128.0,0,0,,621991,,1,0,,,2244.424859,0,80.54638978,10.0,7.99164767,1937.940292,0.7057,0,,4,,1,1,0,0
Afternoon,Wira,2946.355792,,70.0,0,0,,621993,,1,0,,,857.4349735,0,80.09003357,10.0,7.820596374,706.2336126,0.8131,0,,16,,0,1,0,0
Early Morning,Negative,480.4430664,2009-12-12,16.0,0,0,Dry,0,2009.0,1,0,2009-12-12 08:00:00,12.0,1449.497527,0,83.51740279695797,10.0,6.149171947154461,5503.669844,0.8402,0,12.0,8,5.0,1,0,0,0
Midday,Mihiri,3426.822764,2010-09-02 00:00:00,188.0,0,0,Inter-Monsoon-2,621999,2010.0,1,0,2010-09-02 12:00:00,9.0,2775.785414,0,80.79968088,10.0,8.074903648,3126.624833,0.7799,0,2.0,12,3.0,1,1,0,0
Night,Negative,283.3800832,2009-08-08,15.0,0,0,Southwest-Monsoon,0,2009.0,1,0,2009-08-08 04:00:00,8.0,318.8917127,0,81.92747629026229,10.0,5.7833665697006715,51.41555241,0.829,0,8.0,4,5.0,1,0,0,0
Midday,Nalagiri,3555.785692,,60.0,0,0,,621997,,1,0,,,3889.812154,0,81.31998765,10.0,7.551771695,1592.668068,0.8785,0,,12,,1,1,0,0
Afternoon,Wanamali,737.7249287,,18.0,0,0,,621512,,1,0,,,1696.895197,0,81.15398742,10.0,6.181486394,930.5627416,0.8907,0,,16,,0,1,0,0
Night,Negative,401204.4907,2010-01-02,84.0,0,0,Dry,0,2010.0,1,0,2010-01-02 00:00:00,1.0,401510.5496,0,83.83287329850626,10.0,4.340703547475806,398831.7056,-0.2,0,2.0,0,5.0,0,0,0,0
Early Morning,Mihiri,65.0153398,,192.0,0,0,,621999,,1,0,,,1458.148294,0,80.69539825,10.0,7.938868457,376.5354291,0.8789,0,,8,,1,1,0,0
Early Morning,Negative,401204.4907,2010-01-05,84.0,0,0,Dry,0,2010.0,1,0,2010-01-05 08:00:00,1.0,401510.5496,0,83.0248880226671,10.0,4.544475455096998,398831.7056,-0.2,0,5.0,8,1.0,0,0,0,0
Afternoon,Negative,2984.304757,2010-09-05,24.0,0,0,Inter-Monsoon-2,0,2010.0,0,0,2010-09-05 16:00:00,9.0,4461.060476,0,81.14250252386454,30.0,7.988415863051736,5505.308619,0.8369,0,5.0,16,6.0,1,0,0,1
Evening,Negative,1070.236594,2010-01-03,10.0,1,0,Dry,0,2010.0,0,0,2010-01-03 20:00:00,1.0,351.455844,0,82.0431989991912,40.0,7.157854719935276,1675.122865,0.7758,0,3.0,20,6.0,0,0,0,0
Evening,Sugala,1383.200085,,10.0,1,0,,621513,,0,0,,,1144.587844,0,81.79419868,40.0,7.308093054,2894.081179,0.7567,0,,20,,0,1,0,0
Night,Negative,401204.4907,2010-03-06,84.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-06 00:00:00,3.0,401510.5496,0,83.0862717244982,10.0,4.927601794882756,398831.7056,-0.2,0,6.0,0,5.0,0,0,0,0
Early Morning,Negative,1070.236594,2010-02-05,10.0,1,0,Dry,0,2010.0,0,0,2010-02-05 08:00:00,2.0,351.455844,0,82.93225440066456,40.0,7.114955680721321,1675.122865,0.7758,0,5.0,8,4.0,0,0,0,0
Afternoon,Negative,283.3800832,2009-10-11,15.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-10-11 16:00:00,10.0,318.8917127,0,82.0223070907606,10.0,5.232221913061885,51.41555241,0.829,0,11.0,16,6.0,1,0,0,0
Evening,Wira,140.8826513,,78.0,0,0,,621993,,1,0,,,886.6876226,0,80.07261108,10.0,7.877927542,1125.809531,0.8616,0,,20,,0,1,0,0
Night,Negative,1070.236594,2009-09-05,10.0,1,0,Inter-Monsoon-2,0,2009.0,0,0,2009-09-05 04:00:00,9.0,351.455844,0,84.27582292244608,40.0,6.972954013545017,1675.122865,0.7758,0,5.0,4,5.0,0,0,0,0
Afternoon,Negative,1115.048663,2010-03-05,10.0,0,0,Inter-Monsoon,0,2010.0,0,1,2010-03-05 16:00:00,3.0,417.9268672,0,81.45071316537529,60.0,5.303838492524569,1011.359446,0.6874,0,5.0,16,4.0,0,0,0,0
Afternoon,Wanamali,402.0978933,2009-10-06 00:00:00,12.0,0,0,Inter-Monsoon-2,621512,2009.0,0,0,2009-10-06 16:00:00,10.0,1569.851122,0,81.07202529,30.0,6.136163955,1788.695381,0.85,0,6.0,16,1.0,0,1,0,1
Night,Babar,2800.112936,,11.0,0,0,,621997,,1,0,,,1746.384265,0,81.52340403,10.0,6.382159503,2593.820317,0.8482,0,,0,,1,1,0,0
Night,Sugala,531.6392602,,41.0,0,0,,621513,,0,0,,,651.8820891,0,81.63824941,30.0,7.33658911,8077.383723,0.7965,0,,0,,0,1,0,1
Night,Negative,401204.4907,2009-10-02,84.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-10-02 00:00:00,10.0,401510.5496,0,83.67087300356035,10.0,4.736694912102658,398831.7056,-0.2,0,2.0,0,4.0,0,0,0,0
Midday,Negative,143.5193619,2010-05-02,9.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-02 12:00:00,5.0,2754.937194,0,83.70897296216164,40.0,8.25465918587932,5609.338295,0.7429,0,2.0,12,6.0,0,0,0,0
Midday,Udani,1666.829745,,21.0,0,0,,621514,,1,0,,,3166.652744,0,81.70622354,10.0,7.323977964,962.0421153,0.8089,0,,12,,0,1,0,0
Midday,Madara,679.3695848,,117.0,0,0,,621994,,1,0,,,1142.84078,0,80.29199073,10.0,7.856557162,332.3436317,0.8009,0,,12,,1,1,0,0
Evening,Wira,887.7996683,,56.0,0,0,,621993,,1,0,,,648.9675958,0,80.07226114,10.0,7.814841581,1617.173355,0.8341,0,,20,,0,1,0,0
Night,Ekes,5540.548504,,128.0,0,0,,621996,,1,0,,,5262.476329,0,81.17759421,10.0,6.567460196,484.1867087,0.8151,0,,4,,0,1,0,0
Midday,Negative,1070.236594,2010-04-03,10.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-04-03 12:00:00,4.0,351.455844,0,84.10975639439319,40.0,7.467731897140936,1675.122865,0.7758,0,3.0,12,5.0,0,0,0,0
Afternoon,Negative,2215.918331,2010-04-09,15.0,0,0,Inter-Monsoon,0,2010.0,0,0,2010-04-09 16:00:00,4.0,3918.106633,0,81.74060191058122,30.0,6.920772867196902,328.0504113,0.8722,0,9.0,16,4.0,1,0,0,1
Midday,Madara,802.7387151,,132.0,0,0,,621994,,1,0,,,894.000521,0,80.40451825,10.0,8.023405833,5385.118834,0.9105,0,,12,,1,1,0,0
Night,Kala,2367.385288,2010-09-08 00:00:00,145.0,0,0,Inter-Monsoon-2,621991,2010.0,1,0,2010-09-08 04:00:00,9.0,444.5011087,0,80.58733918,10.0,7.966246042,4047.269411,0.7502,0,8.0,4,2.0,0,1,0,0
Night,Negative,1070.236594,2010-05-10,10.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-10 00:00:00,5.0,351.455844,0,83.75805288928373,40.0,6.869774660567737,1675.122865,0.7758,0,10.0,0,0.0,0,0,0,0
Afternoon,Negative,480.4430664,2010-02-01,16.0,0,0,Dry,0,2010.0,1,0,2010-02-01 16:00:00,2.0,1449.497527,0,82.39932241992919,10.0,6.3760518296151805,5503.669844,0.8402,0,1.0,16,0.0,1,0,0,0
Night,Wira,3019.487267,,53.0,0,0,,621993,,1,0,,,621.9059957,0,80.06762775,10.0,7.838871577,856.3165186,0.7644,0,,4,,0,1,0,0
Evening,Negative,480.4430664,2010-05-08,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-05-08 20:00:00,5.0,1449.497527,0,83.26957593636257,10.0,6.290522490338559,5503.669844,0.8402,0,8.0,20,5.0,1,0,0,0
Evening,Udani,337.5302113,,42.0,0,0,,621514,,1,0,,,3758.600899,0,81.69695128,10.0,7.332820515,710.322942,0.7912,0,,20,,0,1,0,0
Night,Wira,548.1789181,2009-10-10 00:00:00,91.0,0,0,Inter-Monsoon-2,621993,2009.0,1,0,2009-10-10 04:00:00,10.0,1080.291876,0,80.15818194,10.0,7.838700493,413.0820421,0.8522,0,10.0,4,5.0,0,1,0,0
Early Morning,Wira,2281.970905,,58.0,0,0,,621993,,1,0,,,864.9594525,0,80.06660004,10.0,7.791150676,733.8975093,0.8078,0,,8,,0,1,0,0
Midday,Negative,855.2706685,2010-09-08,18.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-08 12:00:00,9.0,1031.943558,0,79.95054855347091,10.0,5.535416805023237,973.6204234,0.8393,0,8.0,12,2.0,0,0,0,0
Night,Negative,1115.048663,2009-12-11,10.0,0,0,Dry,0,2009.0,0,1,2009-12-11 00:00:00,12.0,417.9268672,0,80.89911091508039,60.0,5.971535766887153,1011.359446,0.6874,0,11.0,0,4.0,0,0,0,0
Afternoon,Negative,1115.048663,2010-01-01,10.0,0,0,Dry,0,2010.0,0,1,2010-01-01 16:00:00,1.0,417.9268672,0,81.05891726984866,60.0,4.98171010812958,1011.359446,0.6874,0,1.0,16,4.0,0,0,0,0
Midday,Sakunthala,1423.062617,,35.0,0,0,,621992,,0,0,,,2352.270819,0,81.1168267,30.0,6.296328603,1873.374675,0.788,0,,12,,0,1,0,1
Midday,Negative,401433.7911,2010-02-10,84.0,0,0,Dry,0,2010.0,1,0,2010-02-10 12:00:00,2.0,401727.8367,0,84.06010128142735,10.0,5.7198950036607,399051.0405,-0.2,0,10.0,12,2.0,0,0,0,0
