TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Evening,Negative,1115.048663,2009-10-10,10.0,0,0,Inter-Monsoon-2,0,2009.0,0,1,2009-10-10 20:00:00,10.0,417.9268672,0,81.12548306419373,60.0,4.543769717421164,1011.359446,0.6874,0,10.0,20,5.0,0,0,0,0
Midday,Ekes,4245.206712,,112.0,0,0,,621996,,1,0,,,5971.314009,0,81.18445513,10.0,6.579136203,881.3320987,0.6698,0,,12,,0,1,0,0
Night,Sakunthala,597.1904252,,40.0,0,0,,621992,,1,0,,,3869.02451,0,81.16102689,10.0,6.293919603,638.8204908,0.7906,0,,0,,0,1,0,0
Midday,Negative,3697.092514,2010-03-05,71.0,0,0,Inter-Monsoon,0,2010.0,0,0,2010-03-05 12:00:00,3.0,2648.229121,0,81.42408615847485,30.0,7.059657555364064,14925.6064,0.8992,0,5.0,12,4.0,1,0,0,1
Evening,Negative,480.4430664,2010-01-03,16.0,0,0,Dry,0,2010.0,1,0,2010-01-03 20:00:00,1.0,1449.497527,0,82.08985491542614,10.0,6.352423853218815,5503.669844,0.8402,0,3.0,20,6.0,1,0,0,0
Night,Negative,283.3800832,2009-09-11,15.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-09-11 00:00:00,9.0,318.8917127,0,82.16979304704584,10.0,5.61980544020355,51.41555241,0.829,0,11.0,0,4.0,1,0,0,0
Night,Hurululiya,496.8001278,,165.0,0,0,,621998,,1,0,,,4192.721798,0,80.77564964,10.0,8.070874998,1601.11976,0.7193,0,,4,,1,1,0,0
Night,Negative,1070.236594,2010-02-08,10.0,1,0,Dry,0,2010.0,0,0,2010-02-08 04:00:00,2.0,351.455844,0,82.93571777954048,40.0,7.164274510739672,1675.122865,0.7758,0,8.0,4,0.0,0,0,0,0
Evening,Sakunthala,2108.814509,2010-02-05 00:00:00,79.0,0,0,Dry,621992,2010.0,0,0,2010-02-05 20:00:00,2.0,928.3227616,0,81.0802636,30.0,6.402329758,719.4240005,0.7886,0,5.0,20,4.0,1,1,0,1
Early Morning,Sugala,401.0306986,,10.0,1,0,,621513,,0,0,,,3148.039235,0,81.7917964,40.0,7.286552072,9337.258525,0.6399,0,,8,,0,1,0,0
Afternoon,Negative,480.4430664,2009-10-10,16.0,0,0,Inter-Monsoon-2,0,2009.0,1,0,2009-10-10 16:00:00,10.0,1449.497527,0,81.86049886508022,10.0,6.7509751808820635,5503.669844,0.8402,0,10.0,16,5.0,1,0,0,0
Midday,Ekes,5247.64979,,116.0,1,0,,621996,,0,0,,,5225.436051,0,81.17879379,40.0,6.583000934,838.8872175,0.7526,0,,12,,0,1,0,0
