location_id,year,month_num,region,location,Animal Death/Injury,Animal Parts Trade,Animal Possession,Domestic Animal Trespass,Drugs/Alcohol,Encroachment/Land,Fire,Hunting/Killing,Illegal Entry,Illegal Fishing,Illegal Logging,Meat/Egg Trade,Mining,Other,Tusk Theft,Weapons/Traps,top_offence,total_cases,has_offence,date,month_sin,month_cos,season,lag_cases_1,lag_has_1,lag_top_1,lag_cases_2,lag_has_2,lag_top_2,lag_cases_3,lag_has_3,lag_top_3,roll_3_cases,roll_6_cases,trend_3,trend_6,synthetic_flag
Anuradhapura|Horowpothana NP,2023,1,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Illegal Entry,154.0,1,2023-01-01,0.4999999999999999,0.8660254037844387,NE_monsoon,0.0,0,,0.0,0,,0.0,0,,51.333333333333336,30.166666666666668,154.0,131.0,0
Anuradhapura|Horowpothana NP,2023,2,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,Weapons/Traps,50.0,1,2023-02-01,0.8660254037844386,0.5000000000000001,NE_monsoon,154.0,1,Illegal Entry,0.0,0,,0.0,0,,68.0,34.0,50.0,23.0,0
Anuradhapura|Horowpothana NP,2023,3,Anuradhapura,Horowpothana NP,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,Meat/Egg Trade,57.0,1,2023-03-01,1.0,6.123233995736766e-17,Inter_MarApr,50.0,1,Weapons/Traps,154.0,1,Illegal Entry,0.0,0,,87.0,43.5,57.0,57.0,0
Anuradhapura|Horowpothana NP,2023,4,Anuradhapura,Horowpothana NP,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Illegal Entry,29.0,1,2023-04-01,0.8660254037844387,-0.4999999999999998,Inter_MarApr,57.0,1,Meat/Egg Trade,50.0,1,Weapons/Traps,154.0,1,Illegal Entry,45.333333333333336,48.333333333333336,-125.0,29.0,0
Anuradhapura|Horowpothana NP,2023,5,Anuradhapura,Horowpothana NP,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,Animal Death/Injury,43.0,1,2023-05-01,0.4999999999999999,-0.8660254037844387,SW_monsoon,29.0,1,Illegal Entry,57.0,1,Meat/Egg Trade,50.0,1,Weapons/Traps,43.0,55.5,-7.0,43.0,0
Anuradhapura|Horowpothana NP,2023,6,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,Meat/Egg Trade,17.0,1,2023-06-01,1.2246467991473532e-16,-1.0,SW_monsoon,43.0,1,Animal Death/Injury,29.0,1,Illegal Entry,57.0,1,Meat/Egg Trade,29.666666666666668,58.333333333333336,-40.0,17.0,0
Anuradhapura|Horowpothana NP,2023,7,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,Meat/Egg Trade,17.0,1,2023-07-01,-0.4999999999999997,-0.8660254037844388,SW_monsoon,17.0,1,Meat/Egg Trade,43.0,1,Animal Death/Injury,29.0,1,Illegal Entry,25.666666666666668,35.5,-12.0,-137.0,0
Anuradhapura|Horowpothana NP,2023,8,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,Other,11.0,1,2023-08-01,-0.8660254037844384,-0.5000000000000004,SW_monsoon,17.0,1,Meat/Egg Trade,17.0,1,Meat/Egg Trade,43.0,1,Animal Death/Injury,15.0,29.0,-32.0,-39.0,0
Anuradhapura|Horowpothana NP,2023,9,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,Weapons/Traps,9.0,1,2023-09-01,-1.0,-1.8369701987210294e-16,SW_monsoon,11.0,1,Other,17.0,1,Meat/Egg Trade,17.0,1,Meat/Egg Trade,12.333333333333334,21.0,-8.0,-48.0,0
Anuradhapura|Horowpothana NP,2023,10,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2023-10-01,-0.8660254037844386,0.5000000000000001,Inter_OctNov,9.0,1,Weapons/Traps,11.0,1,Other,17.0,1,Meat/Egg Trade,6.666666666666667,16.166666666666668,-17.0,-29.0,0
Anuradhapura|Horowpothana NP,2023,11,Anuradhapura,Horowpothana NP,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Animal Death/Injury,7.0,1,2023-11-01,-0.5000000000000004,0.8660254037844384,Inter_OctNov,0.0,0,,9.0,1,Weapons/Traps,11.0,1,Other,5.333333333333333,10.166666666666666,-4.0,-36.0,0
Anuradhapura|Horowpothana NP,2023,12,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2023-12-01,-2.4492935982947064e-16,1.0,NE_monsoon,7.0,1,Animal Death/Injury,0.0,0,,9.0,1,Weapons/Traps,2.3333333333333335,7.333333333333333,-9.0,-17.0,0
Anuradhapura|Horowpothana NP,2024,1,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,67.0,0.0,2.0,0.0,21.0,Meat/Egg Trade,138.0,1,2024-01-01,0.4999999999999999,0.8660254037844387,NE_monsoon,0.0,0,,7.0,1,Animal Death/Injury,0.0,0,,48.333333333333336,27.5,138.0,121.0,0
Anuradhapura|Horowpothana NP,2024,2,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,28.0,0.0,15.0,Weapons/Traps,62.0,1,2024-02-01,0.8660254037844386,0.5000000000000001,NE_monsoon,138.0,1,Meat/Egg Trade,0.0,0,,7.0,1,Animal Death/Injury,66.66666666666667,36.0,55.0,51.0,0
Anuradhapura|Horowpothana NP,2024,3,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,2.0,Meat/Egg Trade,15.0,1,2024-03-01,1.0,6.123233995736766e-17,Inter_MarApr,62.0,1,Weapons/Traps,138.0,1,Meat/Egg Trade,0.0,0,,71.66666666666667,37.0,15.0,6.0,0
Anuradhapura|Horowpothana NP,2024,4,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2024-04-01,0.8660254037844387,-0.4999999999999998,Inter_MarApr,15.0,1,Meat/Egg Trade,62.0,1,Weapons/Traps,138.0,1,Meat/Egg Trade,25.666666666666668,37.0,-138.0,0.0,0
Anuradhapura|Horowpothana NP,2024,5,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,Illegal Entry,38.0,1,2024-05-01,0.4999999999999999,-0.8660254037844387,SW_monsoon,0.0,0,,15.0,1,Meat/Egg Trade,62.0,1,Weapons/Traps,17.666666666666668,42.166666666666664,-24.0,31.0,0
Anuradhapura|Horowpothana NP,2024,6,Anuradhapura,Horowpothana NP,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animal Possession,6.0,1,2024-06-01,1.2246467991473532e-16,-1.0,SW_monsoon,38.0,1,Illegal Entry,0.0,0,,15.0,1,Meat/Egg Trade,14.666666666666666,43.166666666666664,-9.0,6.0,0
Anuradhapura|Horowpothana NP,2024,7,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Other,5.0,1,2024-07-01,-0.4999999999999997,-0.8660254037844388,SW_monsoon,6.0,1,Animal Possession,38.0,1,Illegal Entry,0.0,0,,16.333333333333332,21.0,5.0,-133.0,0
Anuradhapura|Horowpothana NP,2024,8,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2024-08-01,-0.8660254037844384,-0.5000000000000004,SW_monsoon,5.0,1,Other,6.0,1,Animal Possession,38.0,1,Illegal Entry,3.6666666666666665,10.666666666666666,-38.0,-62.0,0
